Matchup,Open,Closing Range Start,Closing Range End,Movement,Date
A.J. Dobson,180.0,160.0,185.0,-0.026,2022-10-22
A.J. Dobson,120.0,100.0,124.0,-0.019,2023-08-12
A.J. Fletcher,175.0,145.0,172.0,-0.042,2022-03-12
A.J. Fletcher,-190.0,-175.0,-161.0,0.047,2022-08-20
A.J. Fletcher,-160.0,-410.0,-300.0,-0.252,2023-02-18
Aalon Cruz,-130.0,-207.0,-200.0,-0.183,2020-02-29
Aalon Cruz,-125.0,140.0,175.0,0.3,2021-03-06
Aaron Phillips,125.0,130.0,130.0,0.049,2014-05-24
Aaron Phillips,170.0,145.0,145.0,0.111,2014-08-23
Aaron Phillips,330.0,600.0,705.0,-0.129,2020-07-15
Aaron Phillips,260.0,260.0,260.0,,2021-10-23
Aaron Phillips,140.0,140.0,165.0,0.055,2023-04-15
Aaron Pico,-125.0,-175.0,-145.0,0.1009999999999999,2025-08-17
Aaron Riley,100.0,-105.0,-105.0,0.054,2008-11-15
Aaron Riley,-225.0,-265.0,-265.0,0.154,2009-03-07
Aaron Riley,-120.0,-155.0,-155.0,0.22,2009-08-08
Aaron Riley,-240.0,-172.0,-172.0,-0.069,2009-11-14
Aaron Riley,-175.0,-200.0,-200.0,-0.048,2010-05-29
Aaron Riley,205.0,310.0,310.0,0.256,2011-09-24
Aaron Riley,150.0,195.0,220.0,-0.081,2013-07-27
Aaron Rosa,-185.0,-135.0,-135.0,-0.186,2011-06-11
Aaron Rosa,-150.0,-120.0,-120.0,-0.048,2011-11-12
Aaron Rosa,255.0,315.0,315.0,0.145,2012-03-02
Aaron Simpson,-175.0,-200.0,-200.0,0.093,2009-04-01
Aaron Simpson,130.0,-115.0,-115.0,-0.23,2009-08-29
Aaron Simpson,-250.0,-380.0,-380.0,-0.108,2010-01-11
Aaron Simpson,-335.0,-310.0,-310.0,0.066,2010-06-19
Aaron Simpson,155.0,115.0,115.0,0.144,2010-11-20
Aaron Simpson,-195.0,-210.0,-210.0,0.055,2011-03-26
Aaron Simpson,-225.0,-245.0,-245.0,0.098,2011-07-02
Aaron Simpson,-325.0,-400.0,-400.0,0.198,2011-10-08
Aaron Simpson,-185.0,130.0,130.0,0.33,2012-02-15
Aaron Simpson,-280.0,-350.0,-330.0,0.19,2012-07-11
Aaron Simpson,170.0,135.0,155.0,0.1169999999999999,2012-10-05
Aaron Wilkinson,140.0,-110.0,-110.0,0.168,2010-12-04
Abdul Razak Alhassan,-350.0,-335.0,-330.0,0.062,2016-11-19
Abdul Razak Alhassan,-185.0,-275.0,-250.0,0.241,2017-05-28
Abdul Razak Alhassan,-315.0,-210.0,-195.0,-0.223,2018-01-20
Abdul Razak Alhassan,-185.0,-110.0,-110.0,-0.283,2018-09-08
Abdul Razak Alhassan,-200.0,-360.0,-350.0,0.302,2020-07-15
Abdul Razak Alhassan,-175.0,-200.0,-162.0,0.067,2020-11-14
Abdul Razak Alhassan,-350.0,-345.0,-290.0,-0.0969999999999999,2021-04-17
Abdul Razak Alhassan,125.0,190.0,215.0,-0.172,2021-08-28
Abdul Razak Alhassan,135.0,125.0,125.0,0.036,2022-01-15
Abdul Razak Alhassan,130.0,125.0,150.0,-0.0279999999999999,2022-02-19
Abdul Razak Alhassan,-115.0,-120.0,-106.0,-0.018,2023-01-14
Abdul Razak Alhassan,,,,,2023-05-20
Abdul Razak Alhassan,140.0,140.0,140.0,,2023-07-01
Abdul Razak Alhassan,200.0,280.0,320.0,0.25,2023-10-08
Abdul Razak Alhassan,100.0,-175.0,-144.0,0.1889999999999999,2024-07-14
Abdul Razak Alhassan,-150.0,-165.0,-165.0,0.063,2024-10-12
Abdul Razak Alhassan,175.0,210.0,220.0,-0.02,2025-01-12
Abdul-Kareem Al-Selwady,142.0,-150.0,-125.0,-0.416,2024-03-02
Abdul-Kareem Al-Selwady,200.0,200.0,200.0,,2024-08-03
Abdul-Kareem Al-Selwady,-250.0,-250.0,-250.0,,2025-02-01
Abdul-Kerim Edilov,-505.0,-670.0,-650.0,0.25,2017-09-02
Abel Trujillo,145.0,120.0,125.0,-0.099,2012-12-08
Abel Trujillo,250.0,240.0,275.0,0.022,2013-05-25
Abel Trujillo,-130.0,-130.0,-125.0,0.0819999999999999,2013-08-28
Abel Trujillo,-120.0,125.0,130.0,-0.094,2013-12-14
Abel Trujillo,150.0,-105.0,105.0,0.1669999999999999,2014-02-01
Abel Trujillo,175.0,250.0,295.0,0.263,2014-12-06
Abel Trujillo,-110.0,110.0,112.0,0.095,2015-11-07
Abel Trujillo,-135.0,132.0,135.0,0.256,2016-01-02
Abel Trujillo,-305.0,-320.0,-320.0,-0.012,2016-05-29
Abel Trujillo,-120.0,-101.0,115.0,0.114,2017-02-04
Abel Trujillo,-175.0,-145.0,-145.0,0.07,2017-12-16
Abner Lloveras,155.0,125.0,125.0,0.088,2015-12-11
Abu Azaitar,-165.0,-210.0,-200.0,0.176,2018-07-22
Abu Azaitar,-155.0,-103.0,107.0,0.186,2021-03-27
Abu Azaitar,130.0,194.0,205.0,-0.119,2023-10-21
Abu Azaitar,105.0,110.0,110.0,0.024,2024-06-22
Abubakar Nurmagomedov,-245.0,-333.0,-260.0,0.172,2019-11-09
Abubakar Nurmagomedov,-175.0,-250.0,-210.0,-0.095,2021-03-27
Abubakar Nurmagomedov,-180.0,-175.0,-135.0,0.059,2022-10-22
Abubakar Nurmagomedov,-110.0,-133.0,120.0,-0.0409999999999999,2023-06-03
Abus Magomedov,285.0,230.0,250.0,-0.132,2023-11-05
Abus Magomedov,-185.0,-360.0,-265.0,-0.161,2024-05-18
Abus Magomedov,100.0,-165.0,-154.0,0.206,2024-10-26
Abus Magomedov,130.0,105.0,120.0,-0.07,2025-04-27
Abus Magomedov,163.0,172.0,200.0,0.071,2025-10-05
Abusupiyan Magomedov,-145.0,-145.0,-145.0,,2021-12-18
Abusupiyan Magomedov,-220.0,-305.0,-275.0,0.144,2022-09-03
Abusupiyan Magomedov,,,,,2023-05-20
Abusupiyan Magomedov,150.0,123.0,136.0,0.047,2023-07-02
Adam Cella,250.0,220.0,220.0,-0.094,2013-04-06
Adam Fugitt,385.0,450.0,500.0,0.139,2022-07-30
Adam Fugitt,,,,,2023-01-14
Adam Fugitt,195.0,250.0,295.0,0.203,2023-02-04
Adam Fugitt,277.0,170.0,184.0,-0.361,2023-06-10
Adam Fugitt,-105.0,110.0,125.0,0.1,2024-06-15
Adam Fugitt,300.0,320.0,390.0,0.1169999999999999,2025-07-20
Adam Milstead,-245.0,-305.0,-290.0,-0.054,2016-05-29
Adam Milstead,145.0,290.0,325.0,-0.218,2017-02-04
Adam Milstead,195.0,205.0,215.0,0.0279999999999999,2018-03-03
Adam Milstead,-215.0,-143.0,-105.0,0.204,2018-12-15
Adam Wieczorek,-165.0,-175.0,-171.0,-0.018,2017-11-18
Adam Wieczorek,110.0,265.0,275.0,-0.2789999999999999,2018-04-14
Adam Wieczorek,-400.0,-213.0,-170.0,0.19,2018-11-03
Adam Yandiev,135.0,222.0,240.0,-0.148,2018-09-15
Adlan Amagov,-155.0,-195.0,-190.0,-0.084,2013-04-06
Adlan Amagov,-140.0,-210.0,-190.0,-0.143,2013-10-19
Adrian Yanez,-305.0,-550.0,-500.0,0.347,2020-10-31
Adrian Yanez,-200.0,-240.0,-215.0,0.063,2021-03-20
Adrian Yanez,-170.0,-255.0,-225.0,0.155,2021-07-24
Adrian Yanez,-240.0,-333.0,-265.0,0.087,2021-11-20
Adrian Yanez,-350.0,-2500.0,-275.0,-0.079,2022-06-18
Adrian Yanez,-185.0,-210.0,-160.0,-0.036,2023-04-08
Adrian Yanez,-125.0,-112.0,105.0,-0.044,2023-10-15
